t_lo,t_hi,delta,pair_Q_lowerbound,threshold_L2d2_over_8,certified_margin
12.25,12.40625,0.15625,5.730495e-02,4.238859e-02,1.491637e-02
12.40625,12.5625,0.15625,1.007956e-01,4.238859e-02,5.840698e-02
12.5625,12.71875,0.15625,1.688313e-01,4.238859e-02,1.264427e-01
12.71875,12.875,0.15625,2.693054e-01,4.238859e-02,2.269168e-01
12.875,13.03125,0.15625,4.090956e-01,4.238859e-02,3.667070e-01
13.03125,13.1875,0.15625,5.918270e-01,4.238859e-02,5.494384e-01
13.1875,13.34375,0.15625,8.153726e-01,4.238859e-02,7.729840e-01
13.34375,13.5,0.15625,1.069818e+00,4.238859e-02,1.027429e+00
13.5,13.65625,0.15625,1.336771e+00,4.238859e-02,1.294383e+00
13.65625,13.8125,0.15625,1.590737e+00,4.238859e-02,1.548348e+00
13.8125,13.96875,0.15625,1.802741e+00,4.238859e-02,1.760352e+00
13.96875,14.125,0.15625,1.945639e+00,4.238859e-02,1.903250e+00
14.125,14.28125,0.15625,1.957500e+00,4.238859e-02,1.915112e+00
14.28125,14.4375,0.15625,1.824790e+00,4.238859e-02,1.782401e+00
14.4375,14.59375,0.15625,1.620010e+00,4.238859e-02,1.577622e+00
14.59375,14.75,0.15625,1.369672e+00,4.238859e-02,1.327284e+00
14.75,14.90625,0.15625,1.102831e+00,4.238859e-02,1.060443e+00
14.90625,15.0625,0.15625,8.456581e-01,4.238859e-02,8.032695e-01
15.0625,15.21875,0.15625,6.175524e-01,4.238859e-02,5.751638e-01
15.21875,15.375,0.15625,4.294824e-01,4.238859e-02,3.870938e-01
15.375,15.53125,0.15625,2.844511e-01,4.238859e-02,2.420625e-01
15.53125,15.6875,0.15625,1.794141e-01,4.238859e-02,1.370255e-01
15.6875,15.84375,0.15625,1.077672e-01,4.238859e-02,6.537861e-02
15.84375,16,0.15625,6.164356e-02,4.238859e-02,1.925497e-02
19.125,19.28125,0.15625,5.469841e-02,4.238859e-02,1.230983e-02
19.28125,19.4375,0.15625,9.658110e-02,4.238859e-02,5.419251e-02
19.4375,19.59375,0.15625,1.623957e-01,4.238859e-02,1.200072e-01
19.59375,19.75,0.15625,2.600380e-01,4.238859e-02,2.176494e-01
19.75,19.90625,0.15625,3.965393e-01,4.238859e-02,3.541507e-01
19.90625,20.0625,0.15625,5.758728e-01,4.238859e-02,5.334842e-01
20.0625,20.21875,0.15625,7.964509e-01,4.238859e-02,7.540623e-01
20.21875,20.375,0.15625,1.049021e+00,4.238859e-02,1.006633e+00
20.375,20.53125,0.15625,1.315839e+00,4.238859e-02,1.273450e+00
20.53125,20.6875,0.15625,1.571864e+00,4.238859e-02,1.529475e+00
20.6875,20.84375,0.15625,1.788221e+00,4.238859e-02,1.745832e+00
20.84375,21,0.15625,1.937409e+00,4.238859e-02,1.895021e+00
21,21.15625,0.15625,1.964282e+00,4.238859e-02,1.921893e+00
21.15625,21.3125,0.15625,1.838173e+00,4.238859e-02,1.795784e+00
21.3125,21.46875,0.15625,1.638189e+00,4.238859e-02,1.595800e+00
21.46875,21.625,0.15625,1.390397e+00,4.238859e-02,1.348008e+00
21.625,21.78125,0.15625,1.123878e+00,4.238859e-02,1.081489e+00
21.78125,21.9375,0.15625,8.652329e-01,4.238859e-02,8.228443e-01
21.9375,22.09375,0.15625,6.345707e-01,4.238859e-02,5.921821e-01
22.09375,22.25,0.15625,4.437169e-01,4.238859e-02,4.013283e-01
