t_lo,t_hi,delta,pair_Q_lowerbound,threshold_L2d2_over_8,certified_margin
1737.0,1737.15625,0.15625,2.503910e+00,4.238859e-02,2.461522e+00
1737.15625,1737.3125,0.15625,2.503910e+00,4.238859e-02,2.461522e+00
1737.3125,1737.46875,0.15625,2.519251e+00,4.238859e-02,2.476862e+00
1737.46875,1737.625,0.15625,2.620138e+00,4.238859e-02,2.577750e+00
1737.625,1737.78125,0.15625,2.778839e+00,4.238859e-02,2.736451e+00
1737.78125,1737.9375,0.15625,2.962330e+00,4.238859e-02,2.919941e+00
1737.9375,1738.09375,0.15625,3.138020e+00,4.238859e-02,3.095631e+00
1738.09375,1738.25,0.15625,3.278547e+00,4.238859e-02,3.236158e+00
1738.25,1738.40625,0.15625,3.364906e+00,4.238859e-02,3.322518e+00
1738.40625,1738.5625,0.15625,3.347981e+00,4.238859e-02,3.305592e+00
1738.5625,1738.71875,0.15625,3.254789e+00,4.238859e-02,3.212401e+00
1738.71875,1738.875,0.15625,3.124947e+00,4.238859e-02,3.082559e+00
1738.875,1739.03125,0.15625,2.979447e+00,4.238859e-02,2.937058e+00
1739.03125,1739.1875,0.15625,2.839662e+00,4.238859e-02,2.797274e+00
1739.1875,1739.34375,0.15625,2.722779e+00,4.238859e-02,2.680390e+00
1739.34375,1739.5,0.15625,2.637730e+00,4.238859e-02,2.595341e+00
1739.5,1739.65625,0.15625,2.583144e+00,4.238859e-02,2.540755e+00
1739.65625,1739.8125,0.15625,2.548434e+00,4.238859e-02,2.506045e+00
1739.8125,1739.96875,0.15625,2.518134e+00,4.238859e-02,2.475746e+00
1739.96875,1740.125,0.15625,2.478295e+00,4.238859e-02,2.435906e+00
1740.125,1740.28125,0.15625,2.422751e+00,4.238859e-02,2.380362e+00
1740.28125,1740.4375,0.15625,2.356945e+00,4.238859e-02,2.314556e+00
1740.4375,1740.59375,0.15625,2.297757e+00,4.238859e-02,2.255368e+00
1740.59375,1740.75,0.15625,2.269220e+00,4.238859e-02,2.226831e+00
1740.75,1740.90625,0.15625,2.269220e+00,4.238859e-02,2.226831e+00
1740.90625,1741.0625,0.15625,2.295478e+00,4.238859e-02,2.253089e+00
1741.0625,1741.21875,0.15625,2.393294e+00,4.238859e-02,2.350905e+00
1741.21875,1741.375,0.15625,2.566494e+00,4.238859e-02,2.524105e+00
1741.375,1741.53125,0.15625,2.804006e+00,4.238859e-02,2.761617e+00
1741.53125,1741.6875,0.15625,3.081908e+00,4.238859e-02,3.039519e+00
1741.6875,1741.84375,0.15625,3.368662e+00,4.238859e-02,3.326274e+00
1741.84375,1742.0,0.15625,3.631868e+00,4.238859e-02,3.589479e+00
1742.0,1742.15625,0.15625,3.844607e+00,4.238859e-02,3.802218e+00
1742.15625,1742.3125,0.15625,3.989813e+00,4.238859e-02,3.947424e+00
1742.3125,1742.46875,0.15625,4.061804e+00,4.238859e-02,4.019415e+00
1742.46875,1742.625,0.15625,4.010702e+00,4.238859e-02,3.968313e+00
1742.625,1742.78125,0.15625,3.912964e+00,4.238859e-02,3.870575e+00
1742.78125,1742.9375,0.15625,3.785353e+00,4.238859e-02,3.742964e+00
1742.9375,1743.09375,0.15625,3.639120e+00,4.238859e-02,3.596732e+00
1743.09375,1743.25,0.15625,3.483269e+00,4.238859e-02,3.440880e+00
1743.25,1743.40625,0.15625,3.325812e+00,4.238859e-02,3.283424e+00
1743.40625,1743.5625,0.15625,3.175083e+00,4.238859e-02,3.132694e+00
1743.5625,1743.71875,0.15625,3.039959e+00,4.238859e-02,2.997571e+00
1743.71875,1743.875,0.15625,2.928572e+00,4.238859e-02,2.886183e+00
1743.875,1744.03125,0.15625,2.846032e+00,4.238859e-02,2.803643e+00
1744.03125,1744.1875,0.15625,2.792508e+00,4.238859e-02,2.750120e+00
1744.1875,1744.34375,0.15625,2.763067e+00,4.238859e-02,2.720678e+00
1744.34375,1744.5,0.15625,2.749932e+00,4.238859e-02,2.707544e+00
1744.5,1744.65625,0.15625,2.746583e+00,4.238859e-02,2.704194e+00
1744.65625,1744.8125,0.15625,2.746583e+00,4.238859e-02,2.704194e+00
1744.8125,1744.96875,0.15625,2.751945e+00,4.238859e-02,2.709557e+00
1744.96875,1745.125,0.15625,2.772607e+00,4.238859e-02,2.730218e+00
1745.125,1745.28125,0.15625,2.821584e+00,4.238859e-02,2.779196e+00
1745.28125,1745.4375,0.15625,2.913612e+00,4.238859e-02,2.871223e+00
1745.4375,1745.59375,0.15625,3.058471e+00,4.238859e-02,3.016082e+00
1745.59375,1745.75,0.15625,3.254895e+00,4.238859e-02,3.212506e+00
1745.75,1745.90625,0.15625,3.487565e+00,4.238859e-02,3.445176e+00
1745.90625,1746.0625,0.15625,3.728691e+00,4.238859e-02,3.686303e+00
1746.0625,1746.21875,0.15625,3.944030e+00,4.238859e-02,3.901642e+00
1746.21875,1746.375,0.15625,4.101579e+00,4.238859e-02,4.059190e+00
1746.375,1746.53125,0.15625,4.175363e+00,4.238859e-02,4.132974e+00
1746.53125,1746.6875,0.15625,4.100302e+00,4.238859e-02,4.057914e+00
1746.6875,1746.84375,0.15625,3.982032e+00,4.238859e-02,3.939644e+00
1746.84375,1747.0,0.15625,3.853734e+00,4.238859e-02,3.811345e+00
1747.0,1747.15625,0.15625,3.745754e+00,4.238859e-02,3.703365e+00
1747.15625,1747.3125,0.15625,3.677907e+00,4.238859e-02,3.635518e+00
1747.3125,1747.46875,0.15625,3.655089e+00,4.238859e-02,3.612701e+00
1747.46875,1747.625,0.15625,3.655089e+00,4.238859e-02,3.612701e+00
1747.625,1747.78125,0.15625,3.667041e+00,4.238859e-02,3.624653e+00
1747.78125,1747.9375,0.15625,3.691771e+00,4.238859e-02,3.649382e+00
1747.9375,1748.09375,0.15625,3.667907e+00,4.238859e-02,3.625518e+00
